"","post_id","type","timestamp","caption","hashtags","n_hashtags","is_video","video_views","n_likes","n_comments","n_uniq_commenters"
"11","ig011","GraphSidecar",2021-01-09 18:21:29,"Wilujeeng wengi wargi Jabar <U+0001F917>Wargii, Berikut informasi mengenai level kewaspadaan Covid-19 Kab/Kota di Jabar Priode 28 Desember 2020 - 3 Januari 20215 Kab/Kota masuk zona tinggi atau merah, 15 Kab/Kota masuk zona resiko sedang atau orange dan 7 Kab/Kota masuk katagori zona rendah atau kuning <U+0001F9D0>Terima kasih untuk kamu yang tetap semangat dalam mematuhi protokol kesehatan. Tetap waspada dan jangan lengah karena #CovidTanggungJawabBersama <U+0001F44A>So, Ayoo! #LawanCovid19 dengan menaati dan disiplin protokol kesehatan yang ada ketika kamu melakukan aktivitas di luar rumah <U+0001F44C>#JabarKita #JabarJuaraLahirBatin#AdaptasiKebiasaanBaruInfografis Humas Jabar by @aulfadlan#banggajadiwargajabar #jawabarat #jabar #HumasJabar #gedungsate #westjava #RidwanKamil #UuRuzhanulUlum #JabarSehatLahirBatin#JabarTanggapCovid19","westjava, JabarTanggapCovid19, RidwanKamil, LawanCovid19, jawabarat, AdaptasiKebiasaanBaru, JabarSehatLahirBatin, JabarJuaraLahirBatin, CovidTanggungJawabBersama, banggajadiwargajabar, gedungsate, UuRuzhanulUlum, JabarKita, HumasJabar, jabar",15,FALSE,NA,435,6,6
"12","ig012","GraphSidecar",2021-01-09 15:04:57,"VAKSIN SINOVAC MENGANDUNG JARINGAN KERA HIJAU AFRIKA[MISLEADING CONTENT]Berdasarkan hasil pemantauan Tim Jabar Saber Hoaks. Beredar sebuah foto memperlihatkan kemasan produk dengan tulisan ""Sinovac"". Foto itu beredar melalui pesan berantai WhatsApp, baru-baru ini.Foto itu dinarasikan vaksin covid-19 Sinovac mengandung sel vero atau jaringan kera hijau Afrika.[CEK FAKTA]Dari penelusuran kami, klaim bahwa vaksin covid-19 Sinovac mengandung jaringan kera hijau Afrika, adalah salah. Faktanya, vaksin Sinovac tidak mengandung jaringan kera hijau Afrika. Dilansir Medcom.id, Juru bicara vaksin covid-19 PT Bio Farma, Bambang Herianto, membantah informasi tersebut. Ia menegaskan vaksin yang disuntikkan kepada manusia tidak mengandung jaringan tersebut atau sel vero.""Karena sel vero hanya digunakan sebagai media kultur untuk media kembang dan tumbuh virus. Kemudian untuk proses perbanyakan virus serta sebagai bahan baku vaksin,"" kata Bambang seperti dilansir Medcom.id, Minggu 3 Januari 2021.Menurut dia, media kultur berfungsi untuk mempertahankan virus agar tak mati. Jika tak ada media kultur, pembuatan vaksin sulit dilakukan.","",0,FALSE,NA,234,6,6
"13","ig013","GraphSidecar",2021-01-08 21:25:58,"Update Data COVID-19 di Jawa Barat 8 Januari 2021 (pk. 21.00)1. Update data kasus Kasus Terkonfirmasi di Jawa Barat: 94.371 (+1.824)Isolasi/Dalam Perawatan: 13.523 (+906)Sembuh: 79.643 (+914)Meninggal: 1.205 (+4)2. Update jumlah pengetesan Jumlah tes Covid-19 di Jawa Barat: 1.307.236RDT: 455.175PCR: 852.0613. Dari level kewaspadaan 27 Kabupaten/Kota, 7 daerah masuk Zona Risiko Rendah, 15 daerah Zona Risiko Sedang (Oranye), dan 5 daerah masuk Zona Risiko Tinggi (Merah).4. Mari tingkatkan disiplin dengan selalu ingatkan sesama untuk patuhi protokol kesehatan 3M, yakni: memakai masker, menjaga jarak dan mencuci tangan kapanpun dan dimanapun berada.5. Dapatkan informasi lengkap perkembangan COVID-19 di Jawa Barat melalui website pikobar.jabarprov.go.id atau install aplikasi Pikobar di gawai anda!#JabarKita #JabarJuaraLahirBatin #JabarTanggapCovid19 #covid19","JabarTanggapCovid19, covid19, JabarJuaraLahirBatin, JabarKita",4,FALSE,NA,168,8,6
"14","ig014","GraphSidecar",2021-01-08 18:44:15,"Sampurasun wargi, kemarin minfo denger isu katanya ada yg memalsukan hasil tes COVID-19 ya??Yuk baca informasi ini biar ga salah langkah. Menunjukkan surat keterangan tes rapid ataupun PCR yang hasilnya negatif COVID-19 adalah bagian dari prasyarat perjalanan sebagai upaya pencegahan penularan COVID-19 di tengah-tengah masyarakat.Menyediakan surat keterangan palsu dapat dijatuhkan sanksi sesuai dengan yang diatur dalam KUHP Pasal 267 ayat (1), Pasal 268 ayat (1) dan (2) dengan pidana penjara selama 4 tahun.Masyarakat diimbau untuk tidak melakukan praktek kecurangan tersebut dan segera melaporkan kepada pihak yang berwenang bila menemukannya. Ini bukan peraturan tanpa alasan, tapi dampak dari pemalsuan ini bisa menimbulkan korban jiwa lho wargi.Yuk lebih bijak dan jangan lupa protokol kese hatannya ya!#BersamaKominfo #KitaMakinTahu","BersamaKominfo, KitaMakinTahu",2,FALSE,NA,210,6,5
"15","ig015","GraphVideo",2021-01-08 15:05:01,"Pilih masker yang pas dan #pakaimasker Anda dengan tepat ya!Dan jangan lupa untuk tetap menerapkan tindakan-tindakan pencegahan lainnya untuk melindungi diri Anda dan orang lain dari #COVID19 <U+0001F64F>","COVID19, pakaimasker",2,TRUE,3692,119,4,3
"16","ig016","GraphSidecar",2021-01-07 21:24:55,"Update Data COVID-19 di Jawa Barat 7 Januari 2021 (pk. 21.00)1. Update data kasus Kasus Terkonfirmasi di Jawa Barat: 92.547 (+1.416)Isolasi/Dalam Perawatan: 12.617 (+206)Sembuh: 78.729 (+1.208)Meninggal: 1.201 (+2)2. Update jumlah pengetesan Jumlah tes Covid-19 di Jawa Barat: 1.300.125RDT: 455.175PCR: 844.9503. Dari level kewaspadaan 27 Kabupaten/Kota, 7 daerah masuk Zona Risiko Rendah, 15 daerah Zona Risiko Sedang (Oranye), dan 5 daerah masuk Zona Risiko Tinggi (Merah).4. Mari tingkatkan disiplin dengan selalu ingatkan sesama untuk patuhi protokol kesehatan 3M, yakni: memakai masker, menjaga jarak dan mencuci tangan kapanpun dan dimanapun berada.5. Dapatkan informasi lengkap perkembangan COVID-19 di Jawa Barat melalui website pikobar.jabarprov.go.id atau install aplikasi Pikobar di gawai anda!#JabarKita #JabarJuaraLahirBatin #JabarTanggapCovid19 #COVID19","JabarTanggapCovid19, COVID19, JabarJuaraLahirBatin, JabarKita",4,FALSE,NA,238,16,10
"17","ig017","GraphSidecar",2021-01-07 19:13:03,"Hanya 8 hari, Jawa Barat mengalami penambahan lebih dari 10.000 kasus terkonfirmasi COVID-19. Pada 26 Desember 2020, tercatat 81.322 kasus. 8 hari kemudian, yaitu 6 Januari 2021, kasus kumulatif mencapai 91.131.Naiknya kasus terkonfirmasi harian dalam waktu yang relatif singkat perlu jadi pengingat bahwa kita harus terus mengerapkan protokol kesehatan demi lindungi diri sendiri dan orang lain dari Covid-19. Tindakan sederhana seperti tetap menghindari berkerumun dan mengenakan masker juga bisa membantu sistem kesehatan agar tidak kolaps.Ingat! Selalu terapkan 3M. Memakai Masker. Mencuci Tangan. Menjaga Jarak.","",0,FALSE,NA,491,50,33
"18","ig018","GraphSidecar",2021-01-07 15:50:47,"Pemerintah memberlakukan pembatasan kegiatan masyarakat di seluruh provinsi di Pulau Jawa dan Bali sesuai dengan PP No. 21/2020 tentang Pembatasan Sosial Berskala Besar dalam Rangka Percepatan Penanganan COVID-19.Penerapan pembatasan tersebut meliputi antara lain pembatasan Work From Office menjadi 25%, kegiatan belajar mengajar yang dilakukan secara daring, pembatasan jam operasional pusat perbelanjaan, pembatasan kapasitas tempat makan dan tempat ibadah, serta pemberlakuan protokol kesehatan secara lebih ketat.Ketentuan terkait hal ini akan diatur lebih lanjut dalam Peraturan Gubernur/Walikota/Bupati.Selalu disiplin protokol kesehatan 3M (Memakai masker dengan benar, Menjaga jarak dan jauhi kerumunan, Mencuci tangan pakai sabun) untuk memutus rantai penyebaran COVID-19.","",0,FALSE,NA,243,21,10
"19","ig019","GraphSidecar",2021-01-06 21:26:25,"Update Data COVID-19 di Jawa Barat 6 Januari 2021 (pk. 21.00)1. Update data kasus Kasus Terkonfirmasi di Jawa Barat: 91.131 (+1.470)Isolasi/Dalam Perawatan: 12.411 (+90)Sembuh: 77.521 (+1.369)Meninggal: 1.199 (+11)2. Update jumlah pengetesan Jumlah tes Covid-19 di Jawa Barat: 1.295.802RDT: 455.175PCR: 840.6273. Dari level kewaspadaan 27 Kabupaten/Kota, 7 daerah masuk Zona Risiko Rendah, 15 daerah Zona Risiko Sedang (Oranye), dan 5 daerah masuk Zona Risiko Tinggi (Merah).4. Mari tingkatkan disiplin dengan selalu ingatkan sesama untuk patuhi protokol kesehatan 3M, yakni: memakai masker, menjaga jarak dan mencuci tangan kapanpun dan dimanapun berada.5. Dapatkan informasi lengkap perkembangan COVID-19 di Jawa Barat melalui website pikobar.jabarprov.go.id atau install aplikasi Pikobar di gawai anda!#JabarKita #JabarJuaraLahirBatin #JabarTanggapCovid19 #COVID19","JabarTanggapCovid19, COVID19, JabarJuaraLahirBatin, JabarKita",4,FALSE,NA,321,18,10
"20","ig020","GraphVideo",2021-01-06 18:30:34,"Wilujeng wengi wargi Jabar.Berbelanja sudah jadi kebutuhan kita untuk memenuhi keperluan sehari-hari. Kali ini @dppkb.bandung memberikan tips bagi wargi bagaimana berbelanja di masa pandemi ini. Jangan lupa cek juga channel Youtube DPPKB Kota Bandung ya!Semoga bermanfaat yaa <U+0001F60A>Cc :@dppkb.bandung #dppkbkotabandung#BandungLawanCovid19#KitaYakinBisa","KitaYakinBisa, dppkbkotabandung, BandungLawanCovid19",3,TRUE,1594,58,1,1
"21","ig021","GraphSidecar",2021-01-06 16:06:13,"Selamat sore wargi Jabar.Mimin punya info penting seputar pembelajaran di awal tahun 2021, nih.Kepala Dinas Pendidikan Jawa Barat, Dedi Supandi mengatakan, pembelajaran tatap muka di beberapa sekolah di Jawa Barat (Jabar) bisa dilakukan secara bertahap dengan prinsip sukarela, tidak wajib dan diterapkan secara parsial.""Kenapa dilakukan parsial? Karena, ada tahapan-tahapan yang akan dilakukan sekolah (untuk pembelajaran tatap muka). Seperti, verifikasi di level pengawas dan kantor cabang dinas (KCD) dan akan meminta rekomendasi serta izin (pembelajaran tatap muka) kepada bupati/wali kota sebagai ketua satgas covid di tingkat kabupaten/kota,"" tuturnya, dalam konferensi pers yang digelar di Aula Dewi Sartika Kantor Disdik Jabar, Jln. Dr. Radjiman No. 6, Kota Bandung, Senin (4/1/2020).Nah, Kadisdik menjelaskan, berdasarkan survei melalui dapodik, ada 1.743 sekolah (34,89%) sekolah yang siap melakukan pembelajaran tatap muka. Namun, itu hanya dalam tahap pertama, yakni kesiapan sekolah.""Akan ada tahapan-tahapan yang dilakukan sekolah (untuk pembelajaran tatap muka). Seperti, verifikasi di level pengawas dan kantor cabang dinas (KCD) dan akan meminta rekomendasi serta izin (pembelajaran tatap muka) kepada bupati/wali kota sebagai ketua satgas covid di tingkat kabupaten/kota,"" tuturnya.Saat ini, ada 12 kabupaten/kota yang akan melakukan pembalejaran tatap muka secara parsial, sedangkan 15 lainnya tetap melanjutkan pembelajaran dengan belajar dari rumah (BDR).Optimis, 2021 pandemi segera berlalu!<U+0001F4AA>Info lebih lengkapnya, cek web disdik.jabarprov.go.id ya #WargiDisdikJabar@ridwankamil@ruzhanul@swangsaatmaja@m.dedi_supandhi@wahyu_mijaya@humas_jabar#DisdikJabar #Pendidikan #SemuaAnakBisaSekolah #SemuaAnakBisaJuara #MerdekaBelajar #JabarTanggapCovid19 #JabarJuara","JabarTanggapCovid19, MerdekaBelajar, SemuaAnakBisaSekolah, Pendidikan, WargiDisdikJabar, JabarJuara, DisdikJabar, SemuaAnakBisaJuara",8,FALSE,NA,468,33,28
"22","ig022","GraphSidecar",2021-01-05 21:41:19,"Update Data COVID-19 di Jawa Barat 5 Januari 2021 (pk. 21.00)1. Update data kasus Kasus Terkonfirmasi di Jawa Barat: 89.661 (+1.100)Isolasi/Dalam Perawatan: 12.315 (+9)Sembuh: 76.158 (+1.083)Meninggal: 1.188 (+8)2. Update jumlah pengetesan Jumlah tes Covid-19 di Jawa Barat: 1.284.034RDT: 455.175PCR: 828.8593. Dari level kewaspadaan 27 Kabupaten/Kota, 7 daerah masuk Zona Risiko Rendah, 15 daerah Zona Risiko Sedang (Oranye), dan 5 daerah masuk Zona Risiko Tinggi (Merah).4. Mari tingkatkan disiplin dengan selalu ingatkan sesama untuk patuhi protokol kesehatan 3M, yakni: memakai masker, menjaga jarak dan mencuci tangan kapanpun dan dimanapun berada.5. Dapatkan informasi lengkap perkembangan COVID-19 di Jawa Barat melalui website pikobar.jabarprov.go.id atau install aplikasi Pikobar di gawai anda!#JabarKita #JabarJuaraLahirBatin #JabarTanggapCovid19 #COVID19","JabarTanggapCovid19, COVID19, JabarJuaraLahirBatin, JabarKita",4,FALSE,NA,251,20,8
"23","ig023","GraphImage",2021-01-05 19:29:23,"Pusat Isolasi Mandiri BNN LidoKriteria pasien:- Kasus konfirmasi positif tanpa gejala / gejala ringan- Tidak ada komorbid- Tidak dapat menjalani isolasi mandiri di rumahPersyaratan:- KTP / domisi kota Bogor- Kartu keluarga- Hasil swabProsedur:Melapor ke Puskesmas sesuai wilayah tempat tinggal untuk mendapat surat rujukan","",0,FALSE,NA,199,23,12
"24","ig024","GraphImage",2021-01-05 16:28:28,"Wilujeeng wengi wargi Jabar <U+263A><U+FE0F>Wargi, walaupun sudah diberlakukan new normal, tapi untuk berpergian kamu harus berpikir ulang karena virus corona masih ada lhoo~Nah, mendingan wargi #dirumahaja ada banyak hal positif kok dari kegiatan di rumah seperti menjadi lebih dekat dengan keluarga tersayang<U+0001F917>#JabarKita #JabarJuaraLahirBatin#AdaptasiKebiasaanBaruInfografis Humas Jabar by @ardiard_#banggajadiwargajabar #jawabarat #jabar #HumasJabar #gedungsate #westjava #RidwanKamil #UuRuzhanulUlum #JabarSehatLahirBatin#JabarTanggapCovid19 #KompakLawanCOVID19 #SelamatTahunBaru2021 #TahunBaru2021 #LiburTahunBaru","westjava, JabarTanggapCovid19, RidwanKamil, jawabarat, AdaptasiKebiasaanBaru, JabarSehatLahirBatin, JabarJuaraLahirBatin, jabar, gedungsate, banggajadiwargajabar, KompakLawanCOVID19, SelamatTahunBaru2021, LiburTahunBaru, UuRuzhanulUlum, JabarKita, HumasJabar, TahunBaru2021, dirumahaja",18,FALSE,NA,120,10,4
"25","ig025","GraphSidecar",2021-01-04 21:35:29,"Update Data COVID-19 di Jawa Barat 4 Januari 2021 (pk. 21.00)1. Update data kasus Kasus Terkonfirmasi di Jawa Barat: 88.561 (+1.079)Isolasi/Dalam Perawatan: 12.306 (+33)Sembuh: 75.075 (+1.044)Meninggal: 1.180 (+2)2. Update jumlah pengetesan Jumlah tes Covid-19 di Jawa Barat: 1.276.572RDT: 455.175PCR: 821.3973. Dari level kewaspadaan 27 Kabupaten/Kota, 5 daerah masuk Zona Risiko Rendah, 18 daerah Zona Risiko Sedang (Oranye), dan 4 daerah masuk Zona Risiko Tinggi (Merah).4. Mari tingkatkan disiplin dengan selalu ingatkan sesama untuk patuhi protokol kesehatan 3M, yakni: memakai masker, menjaga jarak dan mencuci tangan kapanpun dan dimanapun berada.5. Dapatkan informasi lengkap perkembangan COVID-19 di Jawa Barat melalui website pikobar.jabarprov.go.id atau install aplikasi Pikobar di gawai anda!#JabarKita #JabarJuaraLahirBatin #JabarTanggapCovid19 #COVID19","JabarTanggapCovid19, COVID19, JabarJuaraLahirBatin, JabarKita",4,FALSE,NA,210,14,6
"26","ig026","GraphSidecar",2021-01-04 19:24:35,"Update Mingguan Covid-1928 Des - 03 Jan 2021Ingin tahu data Kota/Kabupaten di Jawa Barat dengan jumlah penambahan kasus positif, pasien sembuh dan meninggal dunia tertinggi dalam seminggu terakhir? Yuk, simak rekapan datanya pada konten di atas.Ikuti juga terus perkembangan data lengkap Covid-19 di Jawa Barat dengan mengakses website Pikobar atau download aplikasinya di App Store maupun Play Store.","",0,FALSE,NA,276,17,9
